名称,地址,经纬度,电话,省份,城市,区县
10元洗发,芝东路与125县道交叉口西北100米,"118.687975,26.091225",[],福建省,福州市,闽清县
理发馆,乃裳街与车墘街交叉口北200米,"118.774625,26.102375",[],福建省,福州市,闽清县
李坂理发店,128县道与长征十三路交叉口西北420米,"118.760725,26.113675",[],福建省,福州市,闽清县
雾·Hair Studio造型设计,下龙洲9-1号,"118.864397,26.225230",[],福建省,福州市,闽清县
西滨公园来剪吧,溪滨路与南北大街交叉口北80米,"118.867075,26.225675",[],福建省,福州市,闽清县
斌斌10元快剪,湖头街与乃裳街交叉口西140米,"118.776825,26.105175",[],福建省,福州市,闽清县
遇尚造型,溪滨路与南北大街交叉口北120米,"118.867675,26.226075",[],福建省,福州市,闽清县
清城快剪,解放大街与过龙路交叉口西南140米,"118.861825,26.218075",[],福建省,福州市,闽清县
哈星造型,127县道与省璜街交叉口东南140米,"118.731525,25.986875",[],福建省,福州市,闽清县
阿文美发,白樟街与白樟街北路交叉口东340米,"118.808545,26.177680",[],福建省,福州市,闽清县
青亦美发,南北大街与解放大街交叉口南60米,"118.867991,26.221315",[],福建省,福州市,闽清县
钗云理发店,南山路与溪口大街交叉口西北40米,"118.881943,26.210768",[],福建省,福州市,闽清县
666造型,溪口大街与308省道交叉口南60米,"118.885875,26.203443",[],福建省,福州市,闽清县
新大路美发,大路村村委会西侧180米,"118.854229,26.206517",[],福建省,福州市,闽清县
左右手造型设计,梅溪镇台山路436号(人民银行斜对面),"118.871097,26.223477",[],福建省,福州市,闽清县
创鑫造型(闽芝·御景豪庭店),梅溪路596号闽芝·御景豪庭,"118.870228,26.231940",[],福建省,福州市,闽清县
潮流艺剪造型(博仕后·家园店),梅溪镇里寨路渡口村668号博仕后·家园,"118.889667,26.196060",[],福建省,福州市,闽清县
原点美业,上莲街与125县道交叉口南120米,"118.652521,26.036056",18050228114,福建省,福州市,闽清县
一剪风,湖头街与政府路交叉口东南160米,"118.775323,26.106484",[],福建省,福州市,闽清县
煌煌美发店,白中街与仙峰路交叉口西南120米,"118.737025,26.134925",[],福建省,福州市,闽清县
嘟嘟造型,125县道,"118.736215,26.134873",[],福建省,福州市,闽清县
山小毛驴理发店,过龙路与解放大街交叉口南120米,"118.862181,26.218139",[],福建省,福州市,闽清县
动感美发店,塔庄镇塔庄街,"118.776765,26.051260",[],福建省,福州市,闽清县
芳芳剪吧,溪滨路与浮桥头街交叉口东北140米,"118.865752,26.224332",[],福建省,福州市,闽清县
艺剪发艺(台山路店),梅城镇台山路461号,"118.870862,26.224855",[],福建省,福州市,闽清县
欣欣美发工作室,台山路与解放大街交叉口北240米,"118.870844,26.225123",[],福建省,福州市,闽清县
尚形美发,台山路与解放大街交叉口北320米,"118.870348,26.225811",[],福建省,福州市,闽清县
预知造型,梅城镇梅城大街47号,"118.865577,26.223194",[],福建省,福州市,闽清县
晶晶美发店,梅城镇南北大街145号,"118.867821,26.220748",[],福建省,福州市,闽清县
境心科技美肤工作室,梅溪镇榕院村梅溪路是972号,"118.858088,26.223211",15880132359,福建省,福州市,闽清县
芳芳美颜工作室,坂东镇湖头村湖头街35号2楼,"118.776450,26.105860",[],福建省,福州市,闽清县
遇见美美容美体工作室(解放大街店),解放大街梅花园,"118.868410,26.222134",[],福建省,福州市,闽清县
艾尚工作室,溪滨路与天行大桥交叉口东40米,"118.860524,26.222579",[],福建省,福州市,闽清县
东沙龙工作室,政府路与湖头街交叉口东40米,"118.774736,26.107706",[],福建省,福州市,闽清县
青年发社,凤山镇闽星花园1号楼016号,"119.555511,26.489115",13664640172,福建省,福州市,罗源县
雅丹妮青禾店,松山镇滨海路2号世纪金源购物中心A区2层004,"119.594581,26.470651",13859044644,福建省,福州市,罗源县
漂亮宝贝发型设计(福州罗源县),起步大桥附近,"119.546814,26.504222",18750198955,福建省,福州市,罗源县
凯琪美容美发(闽星花园店),罗中路闽星花园1-15号,"119.555389,26.489074",17706903330,福建省,福州市,罗源县
头部交易美发工作室,凤山镇罗川中路5-1号华美花园,"119.558375,26.489025",17774469249,福建省,福州市,罗源县
美尚美容美发(世纪金源大道店),松岐路1号罗源湾滨海新城,"119.598342,26.464820",[],福建省,福州市,罗源县
雅丹妮护肤造型(青禾店),凤山镇三中路青禾小区0708店铺,"119.559090,26.487451",0591-26850111,福建省,福州市,罗源县
创品·形象设计,松岐路1号罗源湾滨海新城,"119.598470,26.463845",[],福建省,福州市,罗源县
发吧(福州罗源县),凤山镇府前新村2号楼,"119.551973,26.485595",13110521118;18850385556,福建省,福州市,罗源县
领秀造型(府前街店),凤山镇府前街6号楼店面妈祖庙对面,"119.552928,26.485328",13559195200;13774583009,福建省,福州市,罗源县
莱卡美发店,世纪花园东南门旁,"119.550865,26.488362",0591-26830367,福建省,福州市,罗源县
TT美业(金源滨海商务中心店),江滨南路1号罗源世纪金源购物中心2F层(南门旁扶梯上到2F可见),"119.594596,26.469111",18850385756,福建省,福州市,罗源县
卡顿美发沙龙(东方星城B区店),东外路12-19号,"119.565758,26.486042",13950231990,福建省,福州市,罗源县
名店造型工作室(罗源世纪金源购物中心B区店),松山镇滨海商业街6-3号,"119.598223,26.467430",18650499698,福建省,福州市,罗源县
君子兰(罗源府前店),府前街与东环路交叉口东120米,"119.552006,26.485593",13110521118;15880137753,福建省,福州市,罗源县
尚美工作室(福州罗源县),府前街8号楼6号店,"119.553795,26.485280",13075961685,福建省,福州市,罗源县
MAX美发沙龙(烫染优质店),滨海路商业街A区06-07号(观音广场正对面),"119.598062,26.470197",18859156498,福建省,福州市,罗源县
首秀造型(江滨北路店),松山镇江滨北路13-7店面,"119.595256,26.475636",15059112538,福建省,福州市,罗源县
独领美容美发(金凤小区店),罗中路金凤小区大门口3-10号,"119.553662,26.488892",18250908733,福建省,福州市,罗源县
宝弟造型,罗中路与星豪路交叉口东北180米,"119.562053,26.491947",15960156052,福建省,福州市,罗源县
名剪烫染工作室,岐阳南路1025号,"119.551953,26.488589",15005963585,福建省,福州市,罗源县
霏梵美发沙龙,滨海新城滨海商业街23-10,"119.599609,26.460363",13665062110,福建省,福州市,罗源县
A-one素人轻奢定制,滨海新城商业街12区西门正对面H5-21,"119.598368,26.458155",13655049724,福建省,福州市,罗源县
顶点造型(华林御景店),府前街3号华林御景门口,"119.556625,26.485375",15985787820,福建省,福州市,罗源县
E剪造型,滨海商业街C5-11,"119.598340,26.462490",13960757293,福建省,福州市,罗源县
锦和造型,罗中路1023号,"119.551962,26.488679",15645592627,福建省,福州市,罗源县
新创意美发(妈祖前街店),马祖前新村55-14室,"119.557043,26.486470",18506026859,福建省,福州市,罗源县
匠心造型,凤南东路10-011消防队附近,"119.551957,26.483395",18960750020,福建省,福州市,罗源县
森尼造型,水岸路香蜜湖9号楼108店面,"119.570502,26.484485",15377936080,福建省,福州市,罗源县
318美发工作室,松山镇罗盛苑9号楼104,"119.592409,26.465609",15980178997,福建省,福州市,罗源县
阿金理发店,明日之星东区南门旁,"119.589047,26.454099",18065109068,福建省,福州市,罗源县
头发乱了美发沙龙(罗中路店),凤山镇岐阳北路119号闽星广场,"119.554691,26.488133",[],福建省,福州市,罗源县
SAVOUR·苏梵造型,滨海新城罗泰苑18号楼105室,"119.600748,26.462243",18959126851,福建省,福州市,罗源县
剪艺快发(滨海店),松山镇松岐路9-33号,"119.588893,26.459655",13705992320,福建省,福州市,罗源县
丝情发艺(正祥店),松山镇正祥特区13号楼05号店面,"119.581092,26.471863",13559452132,福建省,福州市,罗源县
品柏发型屋,罗中路3-7,"119.553872,26.488933",[],福建省,福州市,罗源县
凡高HAIR SAILON,凤山镇罗川中路5-1号华美花园,"119.558313,26.489457",[],福建省,福州市,罗源县
奈斯美发沙龙(汉昇城霍安府西区店),松山镇松岐路7号汉升城东区12栋9号店面,"119.588240,26.456373",[],福建省,福州市,罗源县
初见美发会所,松山镇滨海新城松旗路商业街4-5(BS1-05)初见美发会所,"119.590596,26.469836",18705066143,福建省,福州市,罗源县
零度美发沙龙,松岐路1号罗源湾滨海新城,"119.603195,26.460373",[],福建省,福州市,罗源县
今喜造型(罗源世纪金源购物中心B区店),江滨南路1号罗源世纪金源购物中心B区1F层,"119.593906,26.469312",[],福建省,福州市,罗源县
jk快剪,松岐路1号罗源湾滨海新城,"119.598359,26.465921",15159622809;18695602649,福建省,福州市,罗源县
头上艺人(东方星城B区店),凤山镇东方星城B区一号楼店面,"119.566625,26.486111",13777552532,福建省,福州市,罗源县
完美形象美发沙龙,凤山镇妈祖街4-3号,"119.552037,26.486424",[],福建省,福州市,罗源县
雅士造型,马祖前新村37-11号,"119.555278,26.486587",[],福建省,福州市,罗源县
丝诺美业,松岐路1号罗源湾滨海新城,"119.598382,26.462034",13655081723,福建省,福州市,罗源县
艺廊造型,滨海路与世纪金源大道交叉口东南140米,"119.600026,26.469628",[],福建省,福州市,罗源县
造型公主嫁到(罗源湾滨海新城罗贵苑店),滨海路1号罗源湾滨海新城罗贵苑,"119.590666,26.471439",[],福建省,福州市,罗源县
指间发工作室(明日之星店),站前路与松岐路交叉口西180米,"119.588295,26.455176",[],福建省,福州市,罗源县
时尚联盟烫染吧,妈祖前新村南门旁,"119.555255,26.486586",15060151703,福建省,福州市,罗源县
牵心美发(东方星城B区店),凤山镇东方星城B区1号楼店面,"119.566636,26.486127",[],福建省,福州市,罗源县
发艺时尚馆,福建罗源湾经济开发区管理委员会西北侧230米,"119.595755,26.471998",[],福建省,福州市,罗源县
优美理发店(西外路店),西外路与党校路交叉口东40米,"119.540603,26.486198",[],福建省,福州市,罗源县
艾意·Eyi美容美发,松岐路16-33号,"119.590616,26.455969",[],福建省,福州市,罗源县
缘星梦美容美发,S201罗源县外洋中学东侧约80米,"119.622711,26.432086",[],福建省,福州市,罗源县
剪艺美发型(金源滨海商务中心店),滨海路一号金源滨海商务中心F1层,"119.598306,26.468196",13696846451,福建省,福州市,罗源县
奥斯卡造型(罗源滨海店),松岐路1号罗源湾滨海新城,"119.598385,26.462163",13645072073,福建省,福州市,罗源县
cm快剪,滨海商业街f2-07,"119.600781,26.460405",18059196209,福建省,福州市,罗源县
美约造型,江滨南路与岐鹤路交叉口东60米,"119.582034,26.472550",[],福建省,福州市,罗源县
品尚造型,松岐路与海川路交叉口西北80米,"119.589455,26.460663",[],福建省,福州市,罗源县
慕名而来理发店,北大路与学前洋街交叉口东北160米,"119.549733,26.489152",15205049623,福建省,福州市,罗源县
理云龙理发店,松岐路1号罗源湾滨海新城,"119.600272,26.460355",15859191693,福建省,福州市,罗源县
酷酷男士理发馆,凤山镇西大路20栋05店,"119.544060,26.486537",15985762728,福建省,福州市,罗源县
精艺剪造型,滨海商业街B5-05,"119.598215,26.466532",18059039937,福建省,福州市,罗源县
美约造型(海川路店),海滨新城海川路F1-12对面,"119.599425,26.460325",13799969799,福建省,福州市,罗源县
三毛造型(闽星花园店),闽星花园1号楼,"119.555226,26.489078",0591-26828933,福建省,福州市,罗源县
天玺造型,东大新村16-3号,"119.550578,26.485794",18359757212,福建省,福州市,罗源县
酷琪美发(余家塘店),余家塘165-3,"119.563498,26.488771",15080051717,福建省,福州市,罗源县
星海Star Sea美发工作室,司前新村5-8店面,"119.547909,26.487597",18850701871,福建省,福州市,罗源县
艺美造型,松岐路1号罗源湾滨海新城,"119.598397,26.458766",15959056032,福建省,福州市,罗源县
爱尚美形象设计(东方星城B区店),东外路16-226号,"119.565584,26.487615",15860486931,福建省,福州市,罗源县
简研工作室,滨海新城滨海商业街9-9号,"119.598362,26.466324",18559179101,福建省,福州市,罗源县
依剪缘理发店,凤南路与城南西巷交叉口西100米,"119.548491,26.483440",[],福建省,福州市,罗源县
叮当造型(闽星花园店),罗中路与岐阳路交叉口南160米,"119.554428,26.487708",15859159799,福建省,福州市,罗源县
南溪快剪,东大新村20号楼,"119.550575,26.485575",[],福建省,福州市,罗源县
起点造型(世纪金源大道店),世纪金源大道滨海新城商业街H9段06号商铺,"119.598374,26.456468",19523172669,福建省,福州市,罗源县
A+高定沙龙,司前街3号楼,"119.547999,26.486635",18649781557,福建省,福州市,罗源县
伊剪美时尚造型(天福花园店),罗川中路1号天福花园1座,"119.556671,26.486668",[],福建省,福州市,罗源县
出发点,凤南西路与南大路交叉口东南20米,"119.547530,26.483353",[],福建省,福州市,罗源县
叁木造型工作室(罗马景福城B区店),罗马景福城B区西北门旁,"119.564801,26.491734",[],福建省,福州市,罗源县
靓点美发,起步村委会东北侧100米,"119.546802,26.504111",[],福建省,福州市,罗源县
壹号造型,罗中路与东环路交叉口东北60米,"119.552180,26.488994",[],福建省,福州市,罗源县
艺佳造型(水岸菁华店),松山镇水岸菁华1号-23店面,"119.573048,26.484152",[],福建省,福州市,罗源县
您好漂亮造型,凤山镇罗川中路5-1号华美花园,"119.557777,26.489636",15750871696,福建省,福州市,罗源县
杰造型,罗中路12-29,"119.554218,26.489989",13015762836,福建省,福州市,罗源县
正翔理发店,江滨南路与岐鹤路交叉口西200米,"119.579289,26.472268",[],福建省,福州市,罗源县
首艺造型(溪尾街店),西大路与西环城路交叉口东260米,"119.545286,26.487482",[],福建省,福州市,罗源县
小眼圈,凤山镇竹兜130-1,"119.560840,26.490009",[],福建省,福州市,罗源县
社慕颜灵感造型,松山镇海川路5号滨海新城罗玉苑9座101单元,"119.603774,26.456664",[],福建省,福州市,罗源县
C+文豪发型设计(凤安家园店),华林御景1004,"119.555376,26.485319",15859062656,福建省,福州市,罗源县
漂亮宝贝造型(阳光小区店),凤山镇东外路阳光小区2号楼22店面,"119.563290,26.485390",13799968334,福建省,福州市,罗源县
雅琪造型(松岐路商业街店),松岐路商业街,"119.590570,26.471061",15659780337,福建省,福州市,罗源县
蓝密码(佳禾盛世名城店),104国道与罗川中路交叉口东南100米,"119.558803,26.481942",18559123540,福建省,福州市,罗源县
吓细理发店,罗川中路8号金福花园(罗中路),"119.557002,26.490434",15985762926,福建省,福州市,罗源县
剪艺造形理发店,松山镇江滨南路9-121,"119.579520,26.472652",15880022895,福建省,福州市,罗源县
魅丽雅姿造型(东方星城D区店),东方星城D区东南2门东北50米,"119.571709,26.487020",[],福建省,福州市,罗源县
审美形象设计,罗川中路6-86,"119.558345,26.489040",15280154732,福建省,福州市,罗源县
靓丽人生形象设计(罗源店),凤山镇府前街凤安家园81号楼8号车库,"119.556218,26.485577",13850188033;18850773586,福建省,福州市,罗源县
小爱发屋(水岸菁华店),水岸菁华西北门东北70米,"119.573137,26.485787",[],福建省,福州市,罗源县
美姿剪造型,富丰住宅区北门西50米,"119.554840,26.486464",[],福建省,福州市,罗源县
发艺坊形象设计沙龙(莲花东区店),凤山镇莲花东区6-1075,"119.552112,26.484060",[],福建省,福州市,罗源县
紫竹苑养生馆独领造型,凤山镇金凤小区1栋,"119.553120,26.488868",[],福建省,福州市,罗源县
ABC美容美发,江滨南路1号罗源世纪金源购物中心1F层,"119.593950,26.469412",[],福建省,福州市,罗源县
阿萍理发店,凤南东路13号,"119.552280,26.484386",[],福建省,福州市,罗源县
约尚造型,凤山镇西大路22-9号,"119.543597,26.486590",[],福建省,福州市,罗源县
理发店,罗川南路天星幼儿园,"119.544350,26.483643",[],福建省,福州市,罗源县
吸引力造型,福源花园南门旁,"119.556754,26.485580",13705013293,福建省,福州市,罗源县
玉薇,北大路98-9店玉薇,"119.550467,26.489376",[],福建省,福州市,罗源县
ONE莫造型,水岸路香蜜湖9栋107,"119.570482,26.484466",15005003226,福建省,福州市,罗源县
艺豪发吧私人定制,凤山镇罗川中路5-1号华美花园,"119.558474,26.488108",[],福建省,福州市,罗源县
罗伊美发造型工作室,起步村委会东北侧60米,"119.546545,26.503869",[],福建省,福州市,罗源县
唯美发屋(万豪·城市广场店),凤山镇万豪城市广场21幢,"119.559579,26.488062",15280115106,福建省,福州市,罗源县
高琛美发(物资大楼店),北环城路49-006,"119.551402,26.488946",[],福建省,福州市,罗源县
E+Hairsalon美发沙龙,凤山镇东外路16号东方新城B区28号楼商店10,"119.567712,26.488250",[],福建省,福州市,罗源县
阿国美容美发,妈祖前新村西南侧80米,"119.553204,26.485338",[],福建省,福州市,罗源县
非凡造型工作室,松岐路1号罗源湾滨海新城,"119.598351,26.455273",[],福建省,福州市,罗源县
禾里造型(东方星城B区店),东方星城B区侧门7号楼05店面,"119.569057,26.486563",[],福建省,福州市,罗源县
彩剪点,鉴江镇卫生院北侧60米,"119.759025,26.547475",[],福建省,福州市,罗源县
快剪,东方星城,"119.569325,26.486275",[],福建省,福州市,罗源县
灿灿理发店,白廷线与142县道交叉口西南100米,"119.345146,26.454017",[],福建省,福州市,罗源县
理好理发店,松岐路1号罗源湾滨海新城,"119.598186,26.462640",[],福建省,福州市,罗源县
小爱发屋(香密湖店),香蜜湖西北门东北60米,"119.571425,26.484925",[],福建省,福州市,罗源县
阿康理发店,恒益建材科技有限公司北侧310米,"119.581575,26.466325",[],福建省,福州市,罗源县
亮亮理发,霍口畲族乡人民政府西侧170米,"119.275575,26.446025",[],福建省,福州市,罗源县
2元洗剪吹,妈祖前新村东南侧60米,"119.554195,26.485598",[],福建省,福州市,罗源县
