名称,地址,经纬度,电话,省份,城市,区县,来源城市
艺扬美发,人民大街87号龙江新苑,"127.394971,46.081512",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
酷美造型,人民大街450号,"127.410059,46.080412",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
尖端造型专业烫染店(北直路店),巴彦镇金泰步行街A-4,"127.392998,46.083321",13603658310,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
美天造型(集市路店),集市路223号,"127.406875,46.079579",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
剪吧,集市路241号,"127.405363,46.079653",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
名人造型,盛隆国际西门南50米,"127.395852,46.086006",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
色廊形象设计中心(巴彦商都店),巴彦镇商都北大门,"127.410003,46.080119",15845024783,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
崇尚造型(建设小区店),广场名苑西门东南60米,"127.401311,46.083845",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
刘野形象设计室,迎宾路与治安路交叉口西北40米,"127.406257,46.084330",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
多美雅美容美发(环保小区店),环保小区,"127.407021,46.082572",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
小光造型(馨园小区店),拥政路209号,"127.399916,46.085564",15945055522,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
天艺美发(馨园小区店),馨园小区,"127.400301,46.085541",13644649209,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
弘晟烫染美发沙龙(卫通家园小区店),中心路187号,"127.112014,46.445657",15945956226,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
未来Hair salon,县直机关小区西门南50米,"127.404686,46.085230",13945041314;15846040235,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
吉米造型(幸福人家2期店),迎宾路84号幸福人家,"127.406515,46.088018",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
Tt·剪烫染工作室,荣耀官邸,"127.400426,46.085202",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
首领国际发型沙龙(兴隆分店),人民大街与人民路交叉口东南40米,"127.103336,46.440433",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
Tt时尚烫染,运输小区西门南50米,"127.400973,46.081984",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
七月·造型,荣耀综合小区北门西150米,"127.397539,46.082674",15124631544,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
文美发型工作室(馨园小区店),巴彦镇黎明街馨园小区3栋6单元一层2号,"127.399621,46.085529",13703629988,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
艺手遮添美发沙龙,兴隆林业局十三委,"127.133496,46.441639",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
娜娜美发,电力集贸小区楼下娜娜美发人民大街449号,"127.412518,46.080783",13604508030,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
匠人美发,西直路149号,"127.400862,46.081743",15776611036,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
潮牌造型(运输小区店),北直路224号,"127.402403,46.082489",0451-57589911,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
默飞烫染连锁店,巴彦镇北直路234号,"127.403460,46.082424",0451-57009898,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
莹莹美发(文治颐园店),巴彦镇文治颐园东商服24号门,"127.408557,46.087020",13717871555;15846041860,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
金铭都美发,人民大街与龙江路交叉口西40米,"127.394978,46.081229",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
罗红时尚烫染(金地家园店),石桥路与西直路交汇处,"127.401410,46.079742",13603651588,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
小埕美发工作室,人民大街154号,"127.397447,46.081261",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
酷发烫染,集市东路与人民大街交叉口西南40米,"127.409976,46.080410",13100883820,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
靓点美发,希望路与兴林东路交叉口西北60米,"127.133155,46.441585",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
名剪专业烫染店,兴隆镇中心路64号,"127.108373,46.441910",13029861146,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
头等大事发型工作室(治安路店),治安路15号文化小区,"127.403625,46.083975",13836040714,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
阿利美业,荣耀综合小区北门西160米,"127.397530,46.082709",15561582005,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
仟美发艺,巴彦镇人民大街9号东门里三十米道北,"127.422853,46.080310",18345740080,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
马尚造型设计工作室,巴彦镇吉庆街劳动局综合楼主体楼首层西数第二门,"127.394434,46.081544",18686804034,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
艺剪坊(迎宾路店),大东方购物中心,"127.111181,46.439256",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
鸿妍造型烫染,兴隆镇育德委,"127.103612,46.440526",18846415455,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
名朗发型制作,中心路19号,"127.108825,46.440947",18746489981;18845789966,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
玲姐发艺(文治颐园店),东直路362号文治颐园,"127.406774,46.087177",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
风在发端(吉庆路店),巴彦镇福泰花园2号楼,"127.399603,46.087928",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
孙家美发馆,兴隆镇得权街,"127.112651,46.442544",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
小言造型,运输小区西侧商服361号,"127.400823,46.082203",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
冰城烫染发型室,福泰家园,"127.396959,46.088192",15846044036,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
荣耀美发,文化路与人民大街交叉口北40米,"127.397140,46.081640",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
卓飞美发专业烫染,巴彦镇兴大对面胡同,"127.409852,46.080514",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
Ins Hair形象设计,集市路博雅怡园博雅怡园二期门市,"127.406175,46.079625",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
张张美发工作室,馨园小区,"127.399610,46.085541",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
名匠造型(馨园小区店),巴彦镇拥证路217号,"127.400000,46.085560",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
红艺美发设计(福泰花园店),吉庆路68号福泰花园,"127.397923,46.088199",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
烽火美业,吉庆路68号福泰花园,"127.396656,46.088201",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
焦点专业烫染美发(绥巴公路店),兴隆镇泰圣浴池旁,"127.108283,46.441691",15046152093,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
卓亚造型,运输小区西门南70米,"127.400874,46.081866",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
小凯专业烫染,拥政路333号,"127.407911,46.084992",15245034563,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
美坤美容美发,集市东路与集市路交叉口西南40米,"127.409825,46.078975",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
格格梳专业女子烫染,绥巴公路与学府街交叉口西南40米,"127.109057,46.443344",0451-57538474,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
阿志造型(中兴购物广场店),中心路中兴购物广场(东北角),"127.107658,46.441095",15114541671,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
叁時理髮店,巴彦镇中心街欧街综合楼A栋一楼第一号,"127.405344,46.079665",15945453592,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
阿东发型设计室,幸福家园小区西门东北50米,"127.405121,46.082399",19804563456,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
酷贝造型,春林路与民生西路交叉口南20米,"127.124974,46.441739",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
拾光造型,人民大街与人民路交叉口西40米,"127.102417,46.440571",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
金剪子发型设计(贵宾时尚宾馆店),华星文苑南门东南60米,"127.401536,46.079734",18345734583,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
一豪造型(馨馨花园一期店),集市路248号馨馨花园一期,"127.402120,46.078512",18210322767,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
手艺人美发,兴隆中学西南门旁,"127.108261,46.443735",17545124686,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
格色风专业烫染(中心路店),兴隆镇中心路,"127.108263,46.441650",15114548832,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
名流美容美发(华星文苑店),华星文苑西北门南130米,"127.400738,46.080076",13796133233,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
完美造型(西直路店),油厂家属楼,"127.176659,46.150371",13945046037,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
沙宣造型烫染(华星文苑店),华星文苑南门旁,"127.400910,46.079963",13703632004,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
美芙蓉美发(山后客车站道南),兴隆镇山后客车站点道南,"127.108804,46.440895",15846042932,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
理想烫染(拥政路店),苏城花园北门东北50米,"127.407826,46.084999",15704618339,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
袁伟专业烫染(人民大街步行街店),龙江新苑南门东南100米,"127.394991,46.081273",15545998051,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
首都美发设计会馆(华星文苑店),西直路311号西牌楼南50米道东,"127.400750,46.080370",15945671033,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
小海燕美发,巴彦县客运服务中心南1门旁,"127.396257,46.081249",13945047649,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
禧源美发(中意小区店),北直路399号,"127.412013,46.082373",15663811425,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
美都·造型(馨馨花园一期店),卫建街馨馨花园小区D栋西数1号商服,"127.402165,46.078499",18145575901,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
晓霞专业烫染(西直路),金地家园西2门旁,"127.400746,46.079239",13796222145,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
法兰泥美发纹绣养生会所,巴彦镇古街25号,"127.405842,46.080153",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
鹏鸿美容美发,金泰商业街北.D13 号,"127.393142,46.084627",18546232753,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
妃凡造型(人民大街步行街店),人民大街与通圃路交叉口东南40米,"127.413940,46.080417",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
印迪娜自然护发馆(太平路店),育新小学东门西北100米,"127.405936,46.084048",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
主流发型专业烫染店,兴隆镇人民大街276号,"127.103468,46.440534",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
美格发型印象,绥巴公路与人民大街交叉口北120米,"127.108218,46.441376",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
金起点发型工作室,[],"127.104821,46.440755",18346134892,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
巅峰秀场(金泰步行街店),巴彦镇金泰儿童街b-6,"127.393002,46.083365",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
选择专业美发(华星文苑店),华星文苑西北门南110米,"127.400771,46.080235",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
鑫源发艺,人民大街190号,"127.398906,46.081209",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
米兰造型,生资小区西南门东160米,"127.102653,46.440597",15045443888,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
靓丽美发(迎宾路店),兴隆镇客运站对面,"127.112112,46.440520",13796158034,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
天鹅美容美发,人民大街与人民路交叉口东180米,"127.105156,46.440451",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
姐妹发艺,兴隆镇中心路68号,"127.108339,46.441806",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
二伟剪吧(馨馨花园二期店),馨馨花园二期北门西50米,"127.403517,46.078174",13030099560,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
艺尚造型(人民大街店),兴隆镇人民大街304号(老分局道口),"127.109326,46.440779",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
首选发型印象(悦和家园店),悦和家园西门旁,"127.400734,46.077950",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
金艺美发烫染工作室(华星文苑店),华星文苑西北门南150米,"127.400733,46.079963",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
辰熙HairSalon,集市路354号,"127.401255,46.079775",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
小磊美发(幸福家园小区店),幸福家园小区西门西150米,"127.403458,46.082447",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
古贝美发沙龙(华星文苑店),巴彦镇华星文苑C栋,"127.402574,46.080512",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
海艳专业美发(国泰嘉园店),国泰嘉园东门旁,"127.097712,46.439935",18646101015,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
喜理·美发沙龙,北直路与迎宾路交叉口西60米,"127.404391,46.082384",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
名仕造型专业烫染(人民大街步行街店),龙江新苑南门东100米,"127.395110,46.081475",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
尚丝造型专业烫染(农行小区店),北直路与西直路交叉口西60米,"127.399977,46.082621",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
红玉美发室(兴隆镇酒厂小区店),兴隆镇酒厂小区1栋,"127.114209,46.445497",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
英雄联盟发型工作室(恒瑞花园店),巴彦镇恒瑞小区2号楼,"127.411159,46.084575",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
标榜专业烫染店,古街与人民大街交叉口南60米,"127.406169,46.080453",13836010503,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
兴隆镇哆唻咪风暴造型,兴隆林业局五委B号楼10号门,"127.130406,46.442458",15046705774,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
千姿美发,德祥乡卫生院东北侧50米,"127.191926,46.493969",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
小纯美发造型,北直路191号,"127.400125,46.082875",18043461578;18404057000,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
幸运专业美发沙龙,人民大街234号,"127.399996,46.081109",15114618324,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
发友汇十元快剪,东直路323东北方向130米恒瑞花园,"127.408839,46.084858",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
十年发型工作室,兴南六路49号,"127.411255,46.084560",15134592518,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
剪多多烫染造型,绥巴公路与人民大街交叉口北80米,"127.108000,46.441062",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
春意美发,612乡道与绥巴公路交叉口北220米,"127.236055,46.353742",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
商服铭洋美业,巴彦镇华星二楼,"127.405675,46.081175",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
君乐发艺,建工路252号,"127.407744,46.076704",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
TOP烫染,北直路与西直路交叉口西60米,"127.400075,46.082575",18003650538,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
吾·道美发工作室,华星文苑南门东南60米,"127.401529,46.079718",15546474771,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
莉莉美发,东直路与南直路交叉口西南20米,"127.407663,46.075241",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
林娟发艺,兴隆镇中心路59号,"127.109382,46.440768",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
昕熙造型,北直路164号,"127.399741,46.082645",15045443391,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
飞浪美发,人民大街341号,"127.103570,46.440527",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
新感觉美发,中心大街与振兴路交叉口东南160米,"127.485394,46.359529",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
360度美发,盛世嘉园西北门东100米,"127.183673,46.152424",13644581154,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
风尚烫染专业店(兴隆分店),人民大街与人民路交叉口东80米,"127.103835,46.440510",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
添予美发工作室,集市路248号馨馨花园一期,"127.403575,46.078434",13091442667,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
老李理发馆,南直路与冰国路交叉口西北100米,"127.178798,46.148933",13945032618,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
鑫鑫美发,龙庙中学西南门南60米,"127.235198,46.352000",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
吴氏逆龄时光美业,欧街与步行街交叉口东南20米,"127.404692,46.080372",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
炫坊美发工作室,人民大街与迎宾路交叉口东南100米,"127.407200,46.080442",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
短发故事(金泰步行街店),金泰生活购物广场南门旁,"127.392556,46.083149",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
晓丽美发,迎宾路与绥巴公路交叉口北140米,"127.111730,46.440741",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
鑫妍理烫发,兴隆宴席厅对面,"127.098319,46.441600",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
金木美容美发(农行小区店),北直路(建设局路南)农行楼下,"127.400078,46.082598",13664573811,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
超越美发,红光乡人民政府西南侧120米,"126.973677,46.426400",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
欣怡美发,巴彦镇时代家园,"127.406925,46.078238",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
仙姿烫染店,中心大街与平安大街交叉口西北180米,"127.485310,46.359313",13206569345,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
美格美发,西集镇书香门第商服5号门,"127.184246,46.152568",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
小毕子发型设计(嘉丰小区店),西集镇嘉丰小区,"127.177778,46.149843",13766948816,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
创艺专业美发烫染,兴隆镇人民大街377号,"127.104785,46.440663",13674654788,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
新奇艺发型设计(建东路店),博雅怡园东1门旁,"127.405768,46.079002",13644646173,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
超美烫染,集市东路与集市路交叉口北40米,"127.409899,46.079649",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
丽萍美发室,铁西街运管站楼下,"127.114761,46.443096",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
纤手发型,丰乐乡康庄中学校西南门南80米,"127.123375,46.299825",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
金港造型(华星文苑店),巴彦县集市路373商服,"127.401579,46.079979",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
新艺烫染,巴彦镇兴大对面八珍熟食店胡同,"127.410044,46.080419",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
辉仔发型设计室(文治颐园店),幸福人家1期东门南70米,"127.406337,46.086112",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
顶剪一族,金源嘉园东门旁,"127.403075,46.088525",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
曼哥发艺,福泰小区东门南220米,"127.400825,46.087175",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
东旭美发,欧街7号,"127.404712,46.079875",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
丝蒂形象设计(恒瑞花园店),东直路383号,"127.408862,46.085297",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
黑猫造型,绥巴公路巴彦县龙庙中学,"127.236356,46.352923",15246651171,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
首艺造型(华星文苑店),二百南胡同华兴文苑B栋商服,"127.402538,46.080211",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
凤飞专业染烫,巴彦镇西直路315号,"127.400757,46.080371",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
明明形象烫染,荣耀综合小区北门西北90米,"127.398313,46.082956",15045440033,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
枫叶美发(人民大街步行街店),人民大街与集市东路交叉口东120米,"127.411758,46.080912",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
梅子发艺,广电小区西北门旁,"127.408786,46.083746",15846041355;15846401355,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
四季理烫染工作室,巴彦是馨馨花园二期十二号楼,"127.405241,46.078061",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
东尼发艺(电业小区店),电业小区东门旁,"127.400402,46.080394",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
金典发艺,611乡道与南直路交叉口东北100米,"127.178938,46.151116",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
社区烫染社(福泰花园店),福泰花园北区西南门旁,"127.397167,46.088188",15146015808,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
山河美发,平安大街与中心大街交叉口东160米,"127.488367,46.358319",15114540188,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
鑫派造型,龙江新苑南2门东170米,"127.395004,46.081481",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
长虹美发,中国移动(隆瑞店)东侧80米,"127.335748,46.569847",15945954841,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
新月美发沙龙,611乡道与南直路交叉口东140米,"127.179818,46.151019",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
红艳美发,商都北大门对面红艳美发,"127.409428,46.080146",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
双双美容美发,兴隆镇二院南侧110米,"127.111807,46.448433",15945953946,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
剪剪风烫染流行馆,南直路与集发路交叉口南60米,"127.177162,46.151580",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
雅坤美发店,人民大街与文化路交叉口东南50米,"127.098325,46.440559",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
东芝美容美发(巴彦商都店),集市路128号巴彦商都F1层,"127.409988,46.079875",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
清新美发沙龙,兴隆镇中心路106号,"127.108222,46.443743",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
梦娜丝美发美甲,和谐家园东门南80米,"127.399961,46.074810",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
爱尚烫染,金盛路与拥政路交叉口西南40米,"127.392696,46.085355",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
哆唻咪理发店,保卫路与民生西路交叉口西南60米,"127.126025,46.441575",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
逸染造型美发沙龙,集市路248号馨馨花园一期,"127.403125,46.078825",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
早晚美甲美睫工作室,育新校北门治安路4号,"127.406006,46.084042",18846418123,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
悦熙美容工作室,金泰商业街B-16,"127.393054,46.083740",18246027783,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
美丽坊美容纹绣工作室,育新小学东门北100米,"127.406010,46.084085",13945046322,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
微微工作室,兴隆镇隆盛宾馆对面,"127.105922,46.439509",15114546772,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
闺中密友美容工作室(华星文苑店),华星文苑A栋一层东数2号,"127.402540,46.080002",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
喜乐美甲工作室,古街三号楼一单元一层5号商服,"127.407106,46.080123",15046708145,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
