名称,地址,经纬度,电话,省份,城市,区县
伟琦造型,天安路地明2区5号楼优贝汉堡隔壁,"129.588815,44.600761",13163618370;13264032888,黑龙江省,牡丹江市,爱民区
顶剪造型(新荣小区店),新荣街中华路69号门市,"129.607064,44.593687",15245333861,黑龙江省,牡丹江市,爱民区
华特美发型设计(杏树林小区店),西海林街明月西路杏树林二区15号楼,"129.587329,44.586419",18845333228,黑龙江省,牡丹江市,爱民区
叁-ONE形象设计中心,诗苑新城1号楼114门市,"129.564986,44.586354",13069781233,黑龙江省,牡丹江市,爱民区
鑫鑫发艺(牡丹江爱民区),诗苑新城1号楼,"129.566438,44.586108",[],黑龙江省,牡丹江市,爱民区
木一造型(杨树林小区二区店),康安路26号杨树林小区二区,"129.590759,44.588079",[],黑龙江省,牡丹江市,爱民区
奇奇美造型(康居新城B区店),康居新城B区1号楼,"129.582150,44.590830",18245331002,黑龙江省,牡丹江市,爱民区
老无名造型(向阳小区店),天安路242号,"129.592503,44.595376",13009882309,黑龙江省,牡丹江市,爱民区
芭莎廊精剪发型设计(铁建小区店),铁路农场铁建小区2号楼门市,"129.577227,44.582403",13766599149,黑龙江省,牡丹江市,爱民区
简艺造型工作室(阳光博苑店),西祥伦街801号阳光博苑,"129.583757,44.595698",13339531707,黑龙江省,牡丹江市,爱民区
阿森·造型(亲民店),希望家园E9号楼102门市东地明街339号,"129.620195,44.609354",[],黑龙江省,牡丹江市,爱民区
红旗发屋(学院风景店),学院风景南门西50米,"129.574159,44.603055",[],黑龙江省,牡丹江市,爱民区
束发造型(新陆家园店),向阳街与天安路交叉口西150米,"129.590465,44.594615",18245350103,黑龙江省,牡丹江市,爱民区
名望造型,东方锦绣家园东北门旁,"129.605797,44.594916",15945372655,黑龙江省,牡丹江市,爱民区
绿源美发,西地明街与民安路交叉口东140米,"129.595077,44.601129",[],黑龙江省,牡丹江市,爱民区
淑云理发店(天安路),天安路153号,"129.592275,44.593602",13514553761,黑龙江省,牡丹江市,爱民区
标新染烫吧(杨树林小区二区店),西新荣街杨树林二区27号楼21号门市,"129.590605,44.588030",[],黑龙江省,牡丹江市,爱民区
兴源美发(自来水小区店),自来水小区东门旁,"129.579625,44.591125",[],黑龙江省,牡丹江市,爱民区
巧手造型(银龙家园店),东地明街纺织二路银龙家园小区4号楼门市,"129.608811,44.606404",[],黑龙江省,牡丹江市,爱民区
多多美发沙龙(柞树林小区店),西海林街235号柞树林小区,"129.594972,44.587594",[],黑龙江省,牡丹江市,爱民区
大坤造型,北山街道天安路地明街与祥伦街之间牡坊红旗小区7号楼6单元102室,"129.590074,44.599313",13604634227,黑龙江省,牡丹江市,爱民区
莓梅造型,逸品尚城,"129.570625,44.582425",[],黑龙江省,牡丹江市,爱民区
天地美业,文化街154号,"129.566262,44.587021",[],黑龙江省,牡丹江市,爱民区
沐本造型,天安路与西祥伦街交叉口东南60米,"129.591825,44.596575",[],黑龙江省,牡丹江市,爱民区
团团理发店,北安小一路与康佳街交叉口西北20米,"129.618194,44.599808",13946366458,黑龙江省,牡丹江市,爱民区
风格美发名店,兴中路林校东门对面馨原浴池隔壁,"129.570009,44.591472",18249305000,黑龙江省,牡丹江市,爱民区
文明理发店,北山街道北安街龙江小区2号楼,"129.614209,44.608778",13836372323,黑龙江省,牡丹江市,爱民区
楷模造型·烫染超市(师院店),师范学院南门对面K超市内,"129.563875,44.585775",[],黑龙江省,牡丹江市,爱民区
彩凤美发(春晖园C区店),春晖园C区,"129.566341,44.571305",[],黑龙江省,牡丹江市,爱民区
晓洁发廊,春晖园C区,"129.566511,44.571467",13624536293,黑龙江省,牡丹江市,爱民区
唯美形象设计(西圣林街店),康居新城B区东南1门东230米,"129.586834,44.589992",13089899352,黑龙江省,牡丹江市,爱民区
双美发型设计室,兴平路地明街地质5号楼,"129.577546,44.595555",13836355920;15246335225,黑龙江省,牡丹江市,爱民区
朋克造型(柏树林小区店),西新荣街天安路路口往东50米,"129.595862,44.589568",15645638876,黑龙江省,牡丹江市,爱民区
理棠造型,兴平路兴平小区3号楼3号门市,"129.582601,44.587945",[],黑龙江省,牡丹江市,爱民区
审美造型(东新荣街店),重阳小区西南1门旁,"129.623358,44.597914",[],黑龙江省,牡丹江市,爱民区
王明造型,金龙家园五号楼,"129.578925,44.601875",13514554800,黑龙江省,牡丹江市,爱民区
向阳理发店,环球大道与东地明街交叉口南140米,"129.604775,44.602925",[],黑龙江省,牡丹江市,爱民区
时代殿堂SALON(白桦林小区店),西新荣街与天安东二路交叉口东南20米,"129.597893,44.589939",13763431213,黑龙江省,牡丹江市,爱民区
巨匠造型(颐景山水店),颐景山水东地明街265号,"129.617304,44.608461",13903638393,黑龙江省,牡丹江市,爱民区
艺尚染烫吧,北安街60号新丹溪小区,"129.616041,44.601880",[],黑龙江省,牡丹江市,爱民区
剪锋美发沙龙,体育街世茂假日山水小区28号楼104门市,"129.601661,44.607371",[],黑龙江省,牡丹江市,爱民区
靓丽烫染形象店,康居新城B区西圣圣林街669号,"129.582891,44.588822",18104534394,黑龙江省,牡丹江市,爱民区
喜理造型,锦绣前程南门西100米,"129.588688,44.595504",[],黑龙江省,牡丹江市,爱民区
剪约之美发型设计,东祥伦街与中华路交叉口西南80米,"129.601847,44.600114",13763605856,黑龙江省,牡丹江市,爱民区
三千汇美发工作室,牡三公路与东地明街交叉口南120米,"129.601503,44.602020",[],黑龙江省,牡丹江市,爱民区
海燕发艺(新荣小区店),新荣小区西南2门旁,"129.606543,44.594575",[],黑龙江省,牡丹江市,爱民区
未来造型,东地明街167号曙光新城,"129.607117,44.608894",[],黑龙江省,牡丹江市,爱民区
宇鸿专业美发(北方小区店),北方家属2号楼9号门市,"129.590138,44.592900",13845362576,黑龙江省,牡丹江市,爱民区
名沙造型,吉祥花园东北门旁,"129.595436,44.597187",[],黑龙江省,牡丹江市,爱民区
红头绳美发室(北方小区店),西晓云街北方综合楼三楼131门市,"129.588087,44.592289",15174668875,黑龙江省,牡丹江市,爱民区
龙阁发艺(金龙家园店),金龙家园西区北门东50米,"129.579238,44.602239",[],黑龙江省,牡丹江市,爱民区
简艺造型(广厦新城店),东新荣街与东三北路交叉口东60米,"129.619443,44.596521",13136887868,黑龙江省,牡丹江市,爱民区
一佳造型(文化街店),文化街与东直路交叉口东140米,"129.565965,44.586814",15846786562,黑龙江省,牡丹江市,爱民区
跨世纪美发,向阳4区15号楼跨世纪美发,"129.599888,44.591411",18245300503,黑龙江省,牡丹江市,爱民区
贵雅美发屋,牡三公路与东地明街交叉口东南60米,"129.601537,44.602729",13763603668,黑龙江省,牡丹江市,爱民区
发晶造型店,纺织二路曙光新城46号楼107号,"129.605205,44.609838",15045080265,黑龙江省,牡丹江市,爱民区
大众发艺(杨树林小区店),明月路8号杨树林小区,"129.587548,44.586637",13614636377,黑龙江省,牡丹江市,爱民区
大海发艺(悦翔名苑店),兴平街道天安路天晴街42号大海发艺,"129.587758,44.601487",15945318807,黑龙江省,牡丹江市,爱民区
时风美发(白桦林小区店),白桦林小区西南2门旁,"129.596801,44.589326",15174667580,黑龙江省,牡丹江市,爱民区
雅廊造型艺术空间,兴平路40号兴平小区2号楼,"129.584212,44.588381",13329430806,黑龙江省,牡丹江市,爱民区
鑫尚造型,西晓云街379号门市,"129.582920,44.591308",13370902923,黑龙江省,牡丹江市,爱民区
喜乐造型,西地名街450号,"129.577423,44.595540",13945348004,黑龙江省,牡丹江市,爱民区
小付美发(北龙静河小区店),东三北路71号,"129.618159,44.597298",13836372335,黑龙江省,牡丹江市,爱民区
纤艺剪烫染造型(重阳小区店),大庆街道东新荣街370号工商三号楼101室,"129.623002,44.597759",13694535459,黑龙江省,牡丹江市,爱民区
伟丽造型(曙光新城店),曙光新城小区13号楼1门市,"129.607473,44.609032",13904837258,黑龙江省,牡丹江市,爱民区
靓丽发艺(春晖园C区店),春晖园小区C6号楼门市,"129.566059,44.572555",[],黑龙江省,牡丹江市,爱民区
至尚精剪发艺,黄花街道西地名街兴平路口,"129.577042,44.595458",[],黑龙江省,牡丹江市,爱民区
一格专业美发(康居新城A区店),文化街1号,"129.580574,44.591518",[],黑龙江省,牡丹江市,爱民区
靓点理发店,中华路与东祥伦街交叉口西北40米,"129.602340,44.600697",[],黑龙江省,牡丹江市,爱民区
领航美发(兴平路店),康居新城A西门西北60米,"129.580050,44.592396",[],黑龙江省,牡丹江市,爱民区
忆彩造型(金龙家园店),爱民区医学院对面(金龙家园)4号楼车库门市,"129.577746,44.601825",13946365417,黑龙江省,牡丹江市,爱民区
长红美发(新丹溪小区店),新丹溪17号楼,"129.614563,44.601437",13945344865,黑龙江省,牡丹江市,爱民区
靓典美容美发(西新荣街店),康安路26号杨树林小区二区27栋,"129.590657,44.588047",[],黑龙江省,牡丹江市,爱民区
港湾发型设计(新丹溪小区店),新单溪小区23号楼,"129.614951,44.602431",[],黑龙江省,牡丹江市,爱民区
鑫鑫烫染吧,西新荣街中山家园,"129.580263,44.584849",[],黑龙江省,牡丹江市,爱民区
金沐形象设计(师范小区店),西祥伦街124号师范小区,"129.595527,44.598040",[],黑龙江省,牡丹江市,爱民区
海造型(颐景山水店),颐景山水西区A21栋,"129.619082,44.610338",[],黑龙江省,牡丹江市,爱民区
一泽造型(曙光新城店),纺织二路曙光新城43号楼下好日子北侧,"129.606252,44.609058",[],黑龙江省,牡丹江市,爱民区
梵画造型(凯旋城A区店),凯旋城A区东北门东南70米,"129.576574,44.596813",[],黑龙江省,牡丹江市,爱民区
爱民区悦目发型设计,体育街世贸假日山水小区29号楼104室,"129.602864,44.607632",[],黑龙江省,牡丹江市,爱民区
牡丹江市爱民区回守美发造型店,新华路西晓云街百批发宿舍中栋14号2单元101号,"129.599963,44.597323",13644534572,黑龙江省,牡丹江市,爱民区
港汇烫染店,北安街60号新丹溪小区,"129.616114,44.600780",[],黑龙江省,牡丹江市,爱民区
雨欣发艺,兴平路40号兴平小区,"129.582720,44.587893",[],黑龙江省,牡丹江市,爱民区
锋艺造型(火车头小区一区店),火车头小区一区东南门旁,"129.576101,44.583529",[],黑龙江省,牡丹江市,爱民区
红纬发艺(颐景山水店),颐景山水西区西南门东140米,"129.619483,44.609163",[],黑龙江省,牡丹江市,爱民区
素境发廊,东新荣街376号,"129.623125,44.597825",[],黑龙江省,牡丹江市,爱民区
艳子发艺(曙光新城店),东地明街167号曙光新城,"129.607051,44.611533",[],黑龙江省,牡丹江市,爱民区
回首烫染造型,北山街道新华路晓云街百批宿舍中栋,"129.600063,44.597408",[],黑龙江省,牡丹江市,爱民区
东铭造型(天安二区店),天安二区1号楼1楼康安路21号,"129.592323,44.588096",[],黑龙江省,牡丹江市,爱民区
淇滨湾发型设计(阳光博苑店),阳光博苑小区院内,"129.583070,44.595522",[],黑龙江省,牡丹江市,爱民区
天使发廊(火车头小区一区店),火车头小区二区北门东130米,"129.579648,44.584367",[],黑龙江省,牡丹江市,爱民区
珈奈造型,兴中路87号,"129.570164,44.591118",[],黑龙江省,牡丹江市,爱民区
鑫港造型(新丹溪小区店),北安四道街新丹溪,"129.615672,44.600927",[],黑龙江省,牡丹江市,爱民区
尚美造型(圣林小区店),圣林小区北门旁,"129.622046,44.600556",[],黑龙江省,牡丹江市,爱民区
剃头匠(新丹溪小区店),北安街60号新丹溪小区34号楼,"129.617292,44.600769",15904530966,黑龙江省,牡丹江市,爱民区
新感觉美发美妆工作室,仁寿路与东祥伦街交叉口西北180米,"129.599236,44.601252",13945362006,黑龙江省,牡丹江市,爱民区
奈斯造型,文化街与东直路交叉口东南100米,"129.565323,44.586235",13504606551,黑龙江省,牡丹江市,爱民区
唯美发艺(新丹溪小区店),北安街新丹溪13号楼门市,"129.615448,44.601275",13845371345,黑龙江省,牡丹江市,爱民区
英子美发(北山名苑店),北山街道北山名苑小区34号楼一楼车库,"129.592804,44.598833",15545309618,黑龙江省,牡丹江市,爱民区
丝美发艺(新丹溪小区店),北安街新丹溪9号楼,"129.615857,44.601052",13845348654,黑龙江省,牡丹江市,爱民区
佳艺造型(新丹溪店),桥北新丹溪小区10号楼市111,"129.615393,44.600777",15846768072,黑龙江省,牡丹江市,爱民区
德兰剪艺(向阳2区店),向阳2区东北门东北50米,"129.598404,44.591188",13504830291,黑龙江省,牡丹江市,爱民区
原艺发吧(曙光新城店),北山街道纺织二路曙光新城40号楼,"129.606772,44.607925",15174679640,黑龙江省,牡丹江市,爱民区
唯美养生(向阳2区店),2区东北门旁,"129.598515,44.590817",18745328298,黑龙江省,牡丹江市,爱民区
施美美发(杏树林小区店),杏树林二区东南门旁,"129.587330,44.586417",18745331508,黑龙江省,牡丹江市,爱民区
世纪新美发,西地明街与兴平路交叉口东北100米,"129.577975,44.596925",[],黑龙江省,牡丹江市,爱民区
巧匠造型(中山家园店),兴平路25号中山家园,"129.580866,44.585006",[],黑龙江省,牡丹江市,爱民区
金英理发店,西圣林街五星路80号金英理发店,"129.598846,44.593970",[],黑龙江省,牡丹江市,爱民区
百年造型,杏树林二区西北门旁,"129.586511,44.586739",[],黑龙江省,牡丹江市,爱民区
三毛专业美发形象设计烫染吧(北龙静河小区店),东新荣街静河小区(四号楼大门)旁边,"129.618174,44.597274",13614609025,黑龙江省,牡丹江市,爱民区
曙光发型设计(曙光新城店),东地明街167号曙光新城,"129.605534,44.612006",0453-5681068;13845377928,黑龙江省,牡丹江市,爱民区
新团结理发店,北安街60号新丹溪小区,"129.615931,44.601017",[],黑龙江省,牡丹江市,爱民区
森艺造型(鲲鹏五宿舍店),明月西路8号,"129.586924,44.586542",[],黑龙江省,牡丹江市,爱民区
艳丽美发,西祥伦街801号阳光博苑,"129.582631,44.594391",[],黑龙江省,牡丹江市,爱民区
飘逸烫染,二区东南门旁,"129.584786,44.586196",[],黑龙江省,牡丹江市,爱民区
新潮发艺(春晖园店),海林公路春晖园,"129.568406,44.574492",[],黑龙江省,牡丹江市,爱民区
欣盛发廊(曙光新城店),东地明街167号曙光新城,"129.607103,44.609204",[],黑龙江省,牡丹江市,爱民区
鑫艺造型,[],"129.566529,44.586217",13514576265,黑龙江省,牡丹江市,爱民区
天意造型,黄花六条路与海林公路交叉口西240米,"129.561175,44.570225",[],黑龙江省,牡丹江市,爱民区
小禹造型,师范学院校内西苑小区4号楼106室,"129.557495,44.588021",18645438332,黑龙江省,牡丹江市,爱民区
名都发艺(新丹溪小区店),新丹溪小区6号楼门市,"129.616091,44.600656",[],黑龙江省,牡丹江市,爱民区
鑫丝路发廊(地明小区店),兴平街道兴平路地名街地名小区9号楼,"129.577866,44.597178",13946334901,黑龙江省,牡丹江市,爱民区
冀泽造型,西新荣街与天安东一路交叉口西60米,"129.595654,44.589573",18045330993,黑龙江省,牡丹江市,爱民区
慕可造型店,康居新城A西门西北140米,"129.579723,44.592885",[],黑龙江省,牡丹江市,爱民区
首艺美容美发(北方小区店),向阳街康安路晓云街北方综合楼3号楼门市,"129.589004,44.592446",13845358766,黑龙江省,牡丹江市,爱民区
艺峰造型(春晖园A区店),黄花街道春晖园西苑A16号楼门市,"129.571157,44.574565",18545375537,黑龙江省,牡丹江市,爱民区
慕尚造型,文化街76号,"129.563304,44.585173",[],黑龙江省,牡丹江市,爱民区
审美造型(牡丹江大学家属区店),牡丹江大学家属区,"129.568496,44.592029",13614534308,黑龙江省,牡丹江市,爱民区
闺蜜烫染工作室(园丁小区店),兴中路园小区4号楼1单元102,"129.569898,44.590148",15045304614;18766204912,黑龙江省,牡丹江市,爱民区
宏焱发廊(祥合林苑店),文化街祥合林苑7号楼,"129.570141,44.587282",[],黑龙江省,牡丹江市,爱民区
称心美发(西新荣街店),明月路8号杨树林小区,"129.588251,44.586956",15245308469,黑龙江省,牡丹江市,爱民区
沐沐美业,牡纺红旗2号楼1单元101,"129.595938,44.601321",13604606919,黑龙江省,牡丹江市,爱民区
彬彬造型(向阳3区店),向阳1区西南门西270米,"129.596758,44.590027",[],黑龙江省,牡丹江市,爱民区
红纬发艺,颐景山水西区,"129.615939,44.607647",[],黑龙江省,牡丹江市,爱民区
尚雨发艺(向阳3区店),西新荣街向阳三区31号楼,"129.597223,44.590381",13946361407,黑龙江省,牡丹江市,爱民区
丹扬美发(春晖园C区店),黄花街道紫光小学c区9号楼,"129.566609,44.571570",[],黑龙江省,牡丹江市,爱民区
领尚发型设计(新丹溪小区店),北安街新丹溪10号楼,"129.615667,44.600952",15754539780,黑龙江省,牡丹江市,爱民区
华逸造型(曙光新城店),纺织二路(曙光新城),"129.605181,44.611486",15245302692,黑龙江省,牡丹江市,爱民区
丹遇林十元快剪美睫美甲店,天安路204号,"129.594421,44.589093",13945301124;13946331124;18246339993,黑龙江省,牡丹江市,爱民区
尚艺造型(圣林小区店),北安街好日子生鲜超市后身,"129.620974,44.599513",13504836950,黑龙江省,牡丹江市,爱民区
鑫鑫美发(柏树林小区店),西新荣街天安路柏树林小区32号楼,"129.595169,44.589406",[],黑龙江省,牡丹江市,爱民区
精剪廊专业烫染,北安街60号新丹溪小区,"129.616539,44.599978",[],黑龙江省,牡丹江市,爱民区
高高美甲工作室,西晓云街与新华路交叉口西60米,"129.599954,44.597599",13394531991,黑龙江省,牡丹江市,爱民区
焕颜美容工作室,山水美地小区东门33号楼101室,"129.589702,44.606980",18346365456,黑龙江省,牡丹江市,爱民区
故里美甲工作室,凯旋城A区9号-0-103门市,"129.576719,44.596996",17845509992,黑龙江省,牡丹江市,爱民区
禧番美甲工作室,北安路119号,"129.618068,44.600509",13206876221,黑龙江省,牡丹江市,爱民区
艾美美颜工作室(北龙静河小区店),北龙静河小区东南门西90米,"129.619212,44.596986",15945320203,黑龙江省,牡丹江市,爱民区
不桐美甲工作室,通乡街与红旗路交叉口东南160米,"129.577714,44.601877",13766659368,黑龙江省,牡丹江市,爱民区
柒悦美甲工作室,东地明街167号曙光新城,"129.608225,44.609575",13836306017;17204534407,黑龙江省,牡丹江市,爱民区
牡丹江市爱民区亦念美容工作室,颐景山水小区A17-104门室,"129.617872,44.610463",[],黑龙江省,牡丹江市,爱民区
恬心美甲工作室,康佳街与北安小二路交叉口西180米,"129.615725,44.600125",13555568273,黑龙江省,牡丹江市,爱民区
衡远纹身工作室,黄花街道兴中路预备役2区3号楼4单元302室,"129.570263,44.591137",19845139357,黑龙江省,牡丹江市,爱民区
青峦指艺变美工作室,文化街191号牡师院西苑小区家属3号楼106门室青峦指艺,"129.557750,44.587755",15636370616,黑龙江省,牡丹江市,爱民区
落日里·工作室,牡丹江师范学院西苑住宅小区-1号楼B座1602室,"129.558011,44.587048",13763709796;18845331041,黑龙江省,牡丹江市,爱民区
董冰造型(东二店),东二条路平安街与爱民街之间159号,"129.622969,44.584309",0453-6888567,黑龙江省,牡丹江市,东安区
MY TIME美源时间形象设计(星元小区店),景福街34号星元小区,"129.618636,44.587357",0453-6660660,黑龙江省,牡丹江市,东安区
董冰造型(七星店),牡丹江百货大楼北门东60米,"129.617298,44.584947",0453-6401777,黑龙江省,牡丹江市,东安区
古贝造型会所(东二条路店),紫云二区西南门西北80米,"129.622894,44.584425",0453-6926166;13384535222,黑龙江省,牡丹江市,东安区
楷模造型·接发·烫染(七星街店),大润发东安店南门旁,"129.619722,44.585825",0453-6192333,黑龙江省,牡丹江市,东安区
聚美时代美容美发,景福公馆106门市,"129.616624,44.587052",13089835345;13136868123,黑龙江省,牡丹江市,东安区
深港美发美容美甲(塞纳丽舍北区店),江南绿地世纪城乌苏里路20号,"129.626680,44.556683",0453-6510111,黑龙江省,牡丹江市,东安区
CK造型烫染(景福店),景福街121号平安大厦,"129.618517,44.587602",15204531852,黑龙江省,牡丹江市,东安区
liu小白造型(步行街店),东小一条路北小日照街步行街方向路口,"129.616842,44.589322",13624532207,黑龙江省,牡丹江市,东安区
Model楷模·接发·烫染(江山悦店),保利江山悦南门东30米37号楼105门市,"129.641941,44.559610",0453-6615333;13241832333;18546333666,黑龙江省,牡丹江市,东安区
名榜美容美发(七星街店),七星街与东小三条街交叉口东30米,"129.625103,44.587503",13644638888,黑龙江省,牡丹江市,东安区
慕梵造型,七星街东小一条路南20米,"129.620291,44.585851",15945373337,黑龙江省,牡丹江市,东安区
永辉造型,东三条路长安街与新安街之间225号,"129.628332,44.580626",18604638882,黑龙江省,牡丹江市,东安区
楷模造型·接发·烫染(花都店),兴隆街与泼雪泉路交叉口东60米,"129.625731,44.549772",[],黑龙江省,牡丹江市,东安区
尚丝美烫染造型(工商小区店),东二条路与东三条路之间平安街道南118号门市,"129.624783,44.583526",0453-8852888,黑龙江省,牡丹江市,东安区
梦幻造型,北小爱民街109号,"129.621302,44.585316",18645306631,黑龙江省,牡丹江市,东安区
米娜造型(保利江山悦店),东兴街道也河街保利江山悦39号楼105号底商(林福宫饭店隔壁),"129.641025,44.559325",13264149550,黑龙江省,牡丹江市,东安区
